award_date,manufacturer,cost_rs_crore,num_4w_evs,source_file
14.05.2021,M/s Tata Motors,43.62,300,RS_Session_255_AU_305.A.csv
26.08.2021,M/s Hyundai,2.3,10,RS_Session_255_AU_305.A.csv
