state,vehicle_category,count,source_file
Himachal Pradesh,Four Wheeler,37.0,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Four Wheeler,10.0,RS_Session_256_AU_95_C.csv
Jharkhand,Four Wheeler,139.0,RS_Session_256_AU_95_C.csv
Karnataka,Four Wheeler,7212.0,RS_Session_256_AU_95_C.csv
Kerala,Four Wheeler,2524.0,RS_Session_256_AU_95_C.csv
Ladakh,Four Wheeler,5484.0,RS_Session_256_AU_95_C.csv
Maharashtra,Four Wheeler,2.0,RS_Session_256_AU_95_C.csv
Manipur,Four Wheeler,9.0,RS_Session_256_AU_95_C.csv
Meghalaya,Four Wheeler,3.0,RS_Session_256_AU_95_C.csv
Mizoram,Four Wheeler,4.0,RS_Session_256_AU_95_C.csv
Nagaland,Four Wheeler,121.0,RS_Session_256_AU_95_C.csv
Odisha,Four Wheeler,75.0,RS_Session_256_AU_95_C.csv
Puducherry,Four Wheeler,124.0,RS_Session_256_AU_95_C.csv
Punjab,Four Wheeler,798.0,RS_Session_256_AU_95_C.csv
Rajasthan,Four Wheeler,12.0,RS_Session_256_AU_95_C.csv
Sikkim,Four Wheeler,2414.0,RS_Session_256_AU_95_C.csv
Tamil Nadu,Four Wheeler,13.0,RS_Session_256_AU_95_C.csv
Tripura,Four Wheeler,14.0,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Four Wheeler,153.0,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Four Wheeler,368.0,RS_Session_256_AU_95_C.csv
Uttarakhand,Four Wheeler,709.0,RS_Session_256_AU_95_C.csv
West Bengal,Four Wheeler,615.0,RS_Session_256_AU_95_C.csv
Andaman and Nicobar Island,Goods Vehicles,,RS_Session_256_AU_95_C.csv
Arunachal Pradesh,Goods Vehicles,,RS_Session_256_AU_95_C.csv
Assam,Goods Vehicles,7.0,RS_Session_256_AU_95_C.csv
Bihar,Goods Vehicles,11.0,RS_Session_256_AU_95_C.csv
Chandigarh,Goods Vehicles,,RS_Session_256_AU_95_C.csv
Chhattisgarh,Goods Vehicles,1077.0,RS_Session_256_AU_95_C.csv
Delhi,Goods Vehicles,49.0,RS_Session_256_AU_95_C.csv
Goa,Goods Vehicles,13.0,RS_Session_256_AU_95_C.csv
Gujarat,Goods Vehicles,28.0,RS_Session_256_AU_95_C.csv
Haryana,Goods Vehicles,122.0,RS_Session_256_AU_95_C.csv
Himachal Pradesh,Goods Vehicles,7.0,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Goods Vehicles,6.0,RS_Session_256_AU_95_C.csv
Jharkhand,Goods Vehicles,24.0,RS_Session_256_AU_95_C.csv
Karnataka,Goods Vehicles,153.0,RS_Session_256_AU_95_C.csv
Kerala,Goods Vehicles,43.0,RS_Session_256_AU_95_C.csv
Ladakh,Goods Vehicles,,RS_Session_256_AU_95_C.csv
Maharashtra,Goods Vehicles,30.0,RS_Session_256_AU_95_C.csv
Manipur,Goods Vehicles,1.0,RS_Session_256_AU_95_C.csv
Meghalaya,Goods Vehicles,3.0,RS_Session_256_AU_95_C.csv
Mizoram,Goods Vehicles,2.0,RS_Session_256_AU_95_C.csv
Nagaland,Goods Vehicles,3.0,RS_Session_256_AU_95_C.csv
Odisha,Goods Vehicles,21.0,RS_Session_256_AU_95_C.csv
Puducherry,Goods Vehicles,9.0,RS_Session_256_AU_95_C.csv
Punjab,Goods Vehicles,35.0,RS_Session_256_AU_95_C.csv
Rajasthan,Goods Vehicles,25.0,RS_Session_256_AU_95_C.csv
Sikkim,Goods Vehicles,1.0,RS_Session_256_AU_95_C.csv
Tamil Nadu,Goods Vehicles,1281.0,RS_Session_256_AU_95_C.csv
Tripura,Goods Vehicles,1.0,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Goods Vehicles,2.0,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Goods Vehicles,53.0,RS_Session_256_AU_95_C.csv
Uttarakhand,Goods Vehicles,1.0,RS_Session_256_AU_95_C.csv
West Bengal,Goods Vehicles,28.0,RS_Session_256_AU_95_C.csv
Andaman and Nicobar Island,Public Service Vehicle,40.0,RS_Session_256_AU_95_C.csv
Arunachal Pradesh,Public Service Vehicle,,RS_Session_256_AU_95_C.csv
Assam,Public Service Vehicle,15.0,RS_Session_256_AU_95_C.csv
Bihar,Public Service Vehicle,26.0,RS_Session_256_AU_95_C.csv
Chandigarh,Public Service Vehicle,40.0,RS_Session_256_AU_95_C.csv
Chhattisgarh,Public Service Vehicle,1.0,RS_Session_256_AU_95_C.csv
Delhi,Public Service Vehicle,39.0,RS_Session_256_AU_95_C.csv
Goa,Public Service Vehicle,36.0,RS_Session_256_AU_95_C.csv
Gujarat,Public Service Vehicle,278.0,RS_Session_256_AU_95_C.csv
Haryana,Public Service Vehicle,8.0,RS_Session_256_AU_95_C.csv
Himachal Pradesh,Public Service Vehicle,86.0,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Public Service Vehicle,43.0,RS_Session_256_AU_95_C.csv
Jharkhand,Public Service Vehicle,4.0,RS_Session_256_AU_95_C.csv
Karnataka,Public Service Vehicle,44.0,RS_Session_256_AU_95_C.csv
Kerala,Public Service Vehicle,23.0,RS_Session_256_AU_95_C.csv
Ladakh,Public Service Vehicle,,RS_Session_256_AU_95_C.csv
Maharashtra,Public Service Vehicle,851.0,RS_Session_256_AU_95_C.csv
Manipur,Public Service Vehicle,,RS_Session_256_AU_95_C.csv
Meghalaya,Public Service Vehicle,,RS_Session_256_AU_95_C.csv
Mizoram,Public Service Vehicle,1.0,RS_Session_256_AU_95_C.csv
Nagaland,Public Service Vehicle,,RS_Session_256_AU_95_C.csv
Odisha,Public Service Vehicle,,RS_Session_256_AU_95_C.csv
Puducherry,Public Service Vehicle,20.0,RS_Session_256_AU_95_C.csv
Punjab,Public Service Vehicle,2.0,RS_Session_256_AU_95_C.csv
Rajasthan,Public Service Vehicle,1.0,RS_Session_256_AU_95_C.csv
Sikkim,Public Service Vehicle,,RS_Session_256_AU_95_C.csv
Tamil Nadu,Public Service Vehicle,37.0,RS_Session_256_AU_95_C.csv
Tripura,Public Service Vehicle,,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Public Service Vehicle,10.0,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Public Service Vehicle,327.0,RS_Session_256_AU_95_C.csv
Uttarakhand,Public Service Vehicle,10.0,RS_Session_256_AU_95_C.csv
West Bengal,Public Service Vehicle,97.0,RS_Session_256_AU_95_C.csv
Andaman and Nicobar Island,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Arunachal Pradesh,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Assam,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Bihar,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Chandigarh,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Chhattisgarh,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Delhi,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Goa,Special Category Vehicles,2.0,RS_Session_256_AU_95_C.csv
Gujarat,Special Category Vehicles,344.0,RS_Session_256_AU_95_C.csv
Haryana,Special Category Vehicles,2.0,RS_Session_256_AU_95_C.csv
Himachal Pradesh,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Jharkhand,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Karnataka,Special Category Vehicles,1.0,RS_Session_256_AU_95_C.csv
Kerala,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
