state,count,metric,source_file
Andaman and Nicobar Islands,3,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Telangana,6316,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Ladakh,6,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Dadra and Nagar Haveli and Daman and Diu,31,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Andaman and Nicobar Island,182,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Andhra Pradesh,51322,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Arunachal Pradesh,24,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Assam,94929,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Bihar,128885,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Chandigarh,5533,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Chhattisgarh,40516,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Delhi,203263,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Goa,8710,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Gujarat,99236,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Haryana,56243,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Himachal Pradesh,1877,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Jammu and Kashmir,7080,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Jharkhand,28395,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Karnataka,183536,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Kerala,65545,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Ladakh,47,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Madhya Pradesh,42957,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Maharashtra,226134,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Manipur,1052,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Meghalaya,83,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Mizoram,76,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Nagaland,60,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Odisha,45562,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Puducherry,3376,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Punjab,25597,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Rajasthan,143273,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Sikkim,21,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Tamil Nadu,129153,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Tripura,12229,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Dadra and Nagar Haveli and Daman and Diu,303,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Uttar Pradesh,465432,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
Uttarakhand,42308,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
West Bengal,57512,Electric Vehicle Count,RS_Session_259_AU_3475_1.csv
