state,metric,count,source_file
Andhra Pradesh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,20,RS_Session_267_AU_581_C_i.csv
Arunachal Pradesh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Assam,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,2,RS_Session_267_AU_581_C_i.csv
Bihar,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,2,RS_Session_267_AU_581_C_i.csv
Chandigarh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Chhattisgarh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,1,RS_Session_267_AU_581_C_i.csv
Delhi,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,5,RS_Session_267_AU_581_C_i.csv
Goa,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Gujarat,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,50,RS_Session_267_AU_581_C_i.csv
Haryana,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,3,RS_Session_267_AU_581_C_i.csv
Himachal Pradesh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Jammu and Kashmir,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Jharkhand,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Karnataka,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,3,RS_Session_267_AU_581_C_i.csv
Kerala,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Ladakh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Lakshadweep,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Madhya Pradesh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,6,RS_Session_267_AU_581_C_i.csv
Maharashtra,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,121,RS_Session_267_AU_581_C_i.csv
Manipur,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Meghalaya,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Mizoram,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Nagaland,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Odisha,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Puducherry,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,1,RS_Session_267_AU_581_C_i.csv
Punjab,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,2,RS_Session_267_AU_581_C_i.csv
Rajasthan,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,7,RS_Session_267_AU_581_C_i.csv
Sikkim,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Tamil Nadu,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,6,RS_Session_267_AU_581_C_i.csv
Telangana,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,1,RS_Session_267_AU_581_C_i.csv
Tripura,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Uttar Pradesh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,10,RS_Session_267_AU_581_C_i.csv
Dadra and Nagar Haveli and Daman and Diu,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Uttarakhand,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,4,RS_Session_267_AU_581_C_i.csv
West Bengal,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,7,RS_Session_267_AU_581_C_i.csv
Andaman and Nicobar Islands,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,6,RS_Session_267_AU_581_C_i.csv
Andhra Pradesh,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,912,RS_Session_267_AU_581_C_i.csv
Arunachal Pradesh,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,52,RS_Session_267_AU_581_C_i.csv
Assam,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,448,RS_Session_267_AU_581_C_i.csv
Bihar,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,517,RS_Session_267_AU_581_C_i.csv
Chandigarh,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,23,RS_Session_267_AU_581_C_i.csv
Chhattisgarh,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,498,RS_Session_267_AU_581_C_i.csv
Delhi,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,316,RS_Session_267_AU_581_C_i.csv
Goa,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,70,RS_Session_267_AU_581_C_i.csv
Gujarat,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,1104,RS_Session_267_AU_581_C_i.csv
Haryana,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,1068,RS_Session_267_AU_581_C_i.csv
Himachal Pradesh,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,136,RS_Session_267_AU_581_C_i.csv
Jammu and Kashmir,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,170,RS_Session_267_AU_581_C_i.csv
Jharkhand,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,349,RS_Session_267_AU_581_C_i.csv
Karnataka,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,1516,RS_Session_267_AU_581_C_i.csv
Kerala,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,679,RS_Session_267_AU_581_C_i.csv
Ladakh,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,11,RS_Session_267_AU_581_C_i.csv
Lakshadweep,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,1,RS_Session_267_AU_581_C_i.csv
Madhya Pradesh,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,1114,RS_Session_267_AU_581_C_i.csv
Maharashtra,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,1595,RS_Session_267_AU_581_C_i.csv
Manipur,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,57,RS_Session_267_AU_581_C_i.csv
Meghalaya,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,54,RS_Session_267_AU_581_C_i.csv
Mizoram,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,16,RS_Session_267_AU_581_C_i.csv
Nagaland,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,41,RS_Session_267_AU_581_C_i.csv
Odisha,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,661,RS_Session_267_AU_581_C_i.csv
Puducherry,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,27,RS_Session_267_AU_581_C_i.csv
Punjab,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,828,RS_Session_267_AU_581_C_i.csv
Rajasthan,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,1482,RS_Session_267_AU_581_C_i.csv
Sikkim,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,12,RS_Session_267_AU_581_C_i.csv
Tamil Nadu,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,1448,RS_Session_267_AU_581_C_i.csv
Telangana,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,1051,RS_Session_267_AU_581_C_i.csv
Tripura,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,55,RS_Session_267_AU_581_C_i.csv
Uttar Pradesh,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,2561,RS_Session_267_AU_581_C_i.csv
Dadra and Nagar Haveli and Daman and Diu,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,12,RS_Session_267_AU_581_C_i.csv
Uttarakhand,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,212,RS_Session_267_AU_581_C_i.csv
West Bengal,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025,933,RS_Session_267_AU_581_C_i.csv
