state,vehicle_type_code,count,source_file
Madhya Pradesh,2WIC,,RS_Session_258_AU_91_1.csv
Maharashtra,2WIC,4.0,RS_Session_258_AU_91_1.csv
Manipur,2WIC,,RS_Session_258_AU_91_1.csv
Meghalaya,2WIC,,RS_Session_258_AU_91_1.csv
Mizoram,2WIC,,RS_Session_258_AU_91_1.csv
Nagaland,2WIC,,RS_Session_258_AU_91_1.csv
Odisha,2WIC,1.0,RS_Session_258_AU_91_1.csv
Puducherry,2WIC,,RS_Session_258_AU_91_1.csv
Punjab,2WIC,,RS_Session_258_AU_91_1.csv
Rajasthan,2WIC,4.0,RS_Session_258_AU_91_1.csv
Sikkim,2WIC,,RS_Session_258_AU_91_1.csv
Tamil Nadu,2WIC,2.0,RS_Session_258_AU_91_1.csv
Tripura,2WIC,,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,2WIC,,RS_Session_258_AU_91_1.csv
Uttar Pradesh,2WIC,1.0,RS_Session_258_AU_91_1.csv
Uttarakhand,2WIC,,RS_Session_258_AU_91_1.csv
West Bengal,2WIC,,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,3WN,,RS_Session_258_AU_91_1.csv
Andhra Pradesh,3WN,374.0,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,3WN,,RS_Session_258_AU_91_1.csv
Assam,3WN,,RS_Session_258_AU_91_1.csv
Bihar,3WN,2.0,RS_Session_258_AU_91_1.csv
Chandigarh,3WN,,RS_Session_258_AU_91_1.csv
Chhattisgarh,3WN,130.0,RS_Session_258_AU_91_1.csv
Delhi,3WN,,RS_Session_258_AU_91_1.csv
Goa,3WN,4.0,RS_Session_258_AU_91_1.csv
Gujarat,3WN,32.0,RS_Session_258_AU_91_1.csv
Haryana,3WN,,RS_Session_258_AU_91_1.csv
Himachal Pradesh,3WN,1.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,3WN,,RS_Session_258_AU_91_1.csv
Jharkhand,3WN,,RS_Session_258_AU_91_1.csv
Karnataka,3WN,30.0,RS_Session_258_AU_91_1.csv
Kerala,3WN,78.0,RS_Session_258_AU_91_1.csv
Ladakh,3WN,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,3WN,,RS_Session_258_AU_91_1.csv
Maharashtra,3WN,37.0,RS_Session_258_AU_91_1.csv
Manipur,3WN,,RS_Session_258_AU_91_1.csv
Meghalaya,3WN,7.0,RS_Session_258_AU_91_1.csv
Mizoram,3WN,,RS_Session_258_AU_91_1.csv
Nagaland,3WN,,RS_Session_258_AU_91_1.csv
Odisha,3WN,2.0,RS_Session_258_AU_91_1.csv
Puducherry,3WN,4.0,RS_Session_258_AU_91_1.csv
Punjab,3WN,1.0,RS_Session_258_AU_91_1.csv
Rajasthan,3WN,,RS_Session_258_AU_91_1.csv
Sikkim,3WN,,RS_Session_258_AU_91_1.csv
Tamil Nadu,3WN,41.0,RS_Session_258_AU_91_1.csv
Tripura,3WN,,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,3WN,,RS_Session_258_AU_91_1.csv
Uttar Pradesh,3WN,1.0,RS_Session_258_AU_91_1.csv
Uttarakhand,3WN,,RS_Session_258_AU_91_1.csv
West Bengal,3WN,,RS_Session_258_AU_91_1.csv
