state,vehicle_type_code,count,source_file
Meghalaya,HPV,,RS_Session_258_AU_91_1.csv
Mizoram,HPV,,RS_Session_258_AU_91_1.csv
Nagaland,HPV,,RS_Session_258_AU_91_1.csv
Odisha,HPV,10.0,RS_Session_258_AU_91_1.csv
Puducherry,HPV,1.0,RS_Session_258_AU_91_1.csv
Punjab,HPV,1.0,RS_Session_258_AU_91_1.csv
Rajasthan,HPV,2.0,RS_Session_258_AU_91_1.csv
Sikkim,HPV,,RS_Session_258_AU_91_1.csv
Tamil Nadu,HPV,9.0,RS_Session_258_AU_91_1.csv
Tripura,HPV,,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,HPV,24.0,RS_Session_258_AU_91_1.csv
Uttar Pradesh,HPV,633.0,RS_Session_258_AU_91_1.csv
Uttarakhand,HPV,34.0,RS_Session_258_AU_91_1.csv
West Bengal,HPV,58.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,HGV,,RS_Session_258_AU_91_1.csv
Andhra Pradesh,HGV,,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,HGV,,RS_Session_258_AU_91_1.csv
Assam,HGV,,RS_Session_258_AU_91_1.csv
Bihar,HGV,2.0,RS_Session_258_AU_91_1.csv
Chandigarh,HGV,,RS_Session_258_AU_91_1.csv
Chhattisgarh,HGV,7.0,RS_Session_258_AU_91_1.csv
Delhi,HGV,,RS_Session_258_AU_91_1.csv
Goa,HGV,1.0,RS_Session_258_AU_91_1.csv
Gujarat,HGV,7.0,RS_Session_258_AU_91_1.csv
Haryana,HGV,10.0,RS_Session_258_AU_91_1.csv
Himachal Pradesh,HGV,5.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,HGV,2.0,RS_Session_258_AU_91_1.csv
Jharkhand,HGV,12.0,RS_Session_258_AU_91_1.csv
Karnataka,HGV,5.0,RS_Session_258_AU_91_1.csv
Kerala,HGV,,RS_Session_258_AU_91_1.csv
Ladakh,HGV,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,HGV,,RS_Session_258_AU_91_1.csv
Maharashtra,HGV,2.0,RS_Session_258_AU_91_1.csv
Manipur,HGV,,RS_Session_258_AU_91_1.csv
Meghalaya,HGV,,RS_Session_258_AU_91_1.csv
Mizoram,HGV,2.0,RS_Session_258_AU_91_1.csv
Nagaland,HGV,3.0,RS_Session_258_AU_91_1.csv
Odisha,HGV,7.0,RS_Session_258_AU_91_1.csv
Puducherry,HGV,,RS_Session_258_AU_91_1.csv
Punjab,HGV,10.0,RS_Session_258_AU_91_1.csv
Rajasthan,HGV,6.0,RS_Session_258_AU_91_1.csv
Sikkim,HGV,1.0,RS_Session_258_AU_91_1.csv
Tamil Nadu,HGV,15.0,RS_Session_258_AU_91_1.csv
Tripura,HGV,,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,HGV,2.0,RS_Session_258_AU_91_1.csv
Uttar Pradesh,HGV,,RS_Session_258_AU_91_1.csv
Uttarakhand,HGV,,RS_Session_258_AU_91_1.csv
West Bengal,HGV,7.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,OTH,,RS_Session_258_AU_91_1.csv
Andhra Pradesh,OTH,1117.0,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,OTH,,RS_Session_258_AU_91_1.csv
Assam,OTH,,RS_Session_258_AU_91_1.csv
Bihar,OTH,,RS_Session_258_AU_91_1.csv
Chandigarh,OTH,1.0,RS_Session_258_AU_91_1.csv
Chhattisgarh,OTH,367.0,RS_Session_258_AU_91_1.csv
Delhi,OTH,,RS_Session_258_AU_91_1.csv
Goa,OTH,2.0,RS_Session_258_AU_91_1.csv
Gujarat,OTH,153.0,RS_Session_258_AU_91_1.csv
Haryana,OTH,,RS_Session_258_AU_91_1.csv
Himachal Pradesh,OTH,,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,OTH,,RS_Session_258_AU_91_1.csv
Jharkhand,OTH,,RS_Session_258_AU_91_1.csv
Karnataka,OTH,1.0,RS_Session_258_AU_91_1.csv
Kerala,OTH,,RS_Session_258_AU_91_1.csv
Ladakh,OTH,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,OTH,,RS_Session_258_AU_91_1.csv
Maharashtra,OTH,5.0,RS_Session_258_AU_91_1.csv
Manipur,OTH,,RS_Session_258_AU_91_1.csv
Meghalaya,OTH,,RS_Session_258_AU_91_1.csv
Mizoram,OTH,,RS_Session_258_AU_91_1.csv
Nagaland,OTH,,RS_Session_258_AU_91_1.csv
Odisha,OTH,1.0,RS_Session_258_AU_91_1.csv
Puducherry,OTH,,RS_Session_258_AU_91_1.csv
Punjab,OTH,3.0,RS_Session_258_AU_91_1.csv
Rajasthan,OTH,1.0,RS_Session_258_AU_91_1.csv
Sikkim,OTH,,RS_Session_258_AU_91_1.csv
Tamil Nadu,OTH,5.0,RS_Session_258_AU_91_1.csv
Tripura,OTH,,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,OTH,4.0,RS_Session_258_AU_91_1.csv
Uttar Pradesh,OTH,1.0,RS_Session_258_AU_91_1.csv
Uttarakhand,OTH,,RS_Session_258_AU_91_1.csv
West Bengal,OTH,,RS_Session_258_AU_91_1.csv
